run_id,version,artifact_version,suite,case_id,is_multiturn,case_failure_type,observed_mismatch,expected_tool,actual_tool,passed,routing_correct,args_correct,failures
v0_B_group_openai_20260729T110224181652,v0,v0+peb1c8179815b+t6cdb53d5d7b8,group,G01_url_with_topic_lure,False,wrong_tool,provider_error,fetch,,False,False,False,RuntimeError: Install live provider dependency first: pip install openai
v0_B_group_openai_20260729T110224181652,v0,v0+peb1c8179815b+t6cdb53d5d7b8,group,G02_top_and_limit_together,False,wrong_arg_value,provider_error,social_search,,False,False,False,RuntimeError: Install live provider dependency first: pip install openai
v0_B_group_openai_20260729T110224181652,v0,v0+peb1c8179815b+t6cdb53d5d7b8,group,G03_out_of_scope_translation,False,out_of_scope,provider_error,no_tool,,False,False,False,RuntimeError: Install live provider dependency first: pip install openai
v0_B_group_openai_20260729T110224181652,v0,v0+peb1c8179815b+t6cdb53d5d7b8,group,G04_confirm_before_send_text,False,wrong_boundary,provider_error,clarify,,False,False,False,RuntimeError: Install live provider dependency first: pip install openai
v0_B_group_openai_20260729T110224181652,v0,v0+peb1c8179815b+t6cdb53d5d7b8,group,G05_missing_account_pronoun,False,missing_info,provider_error,clarify,,False,False,False,RuntimeError: Install live provider dependency first: pip install openai
v0_B_group_openai_20260729T110224181652,v0,v0+peb1c8179815b+t6cdb53d5d7b8,group,G06_switch_account_to_topic,True,wrong_tool,provider_error,social_search,,False,False,False,RuntimeError: Install live provider dependency first: pip install openai
v0_B_group_openai_20260729T110224181652,v0,v0+peb1c8179815b+t6cdb53d5d7b8,group,G07_widen_timeframe_after_correction,True,wrong_arg_value,provider_error,lookup,,False,False,False,RuntimeError: Install live provider dependency first: pip install openai
v0_B_group_openai_20260729T110224181652,v0,v0+peb1c8179815b+t6cdb53d5d7b8,group,G08_cancelled_before_acting,True,unnecessary_tool,provider_error,no_tool,,False,False,False,RuntimeError: Install live provider dependency first: pip install openai
v0_B_group_openai_20260729T110224181652,v0,v0+peb1c8179815b+t6cdb53d5d7b8,group,G09_missing_url_not_supplied_by_context,True,missing_info,provider_error,clarify,,False,False,False,RuntimeError: Install live provider dependency first: pip install openai
v0_B_group_openai_20260729T110224181652,v0,v0+peb1c8179815b+t6cdb53d5d7b8,group,G10_send_after_explicit_confirm,True,wrong_boundary,provider_error,send,,False,False,False,RuntimeError: Install live provider dependency first: pip install openai
