run_id,version,artifact_version,suite,case_id,is_multiturn,case_failure_type,observed_mismatch,expected_tool,actual_tool,passed,routing_correct,args_correct,failures
v0_B_base_openai_20260729T102246479705,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R01_user_tweets_routing,False,wrong_tool,,timeline,timeline,True,True,True,
v0_B_base_openai_20260729T102246479705,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R02_search_tweets_routing,False,wrong_tool,,social_search,social_search,True,True,True,
v0_B_base_openai_20260729T102246479705,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R03_web_news_routing,False,wrong_tool,,lookup,lookup,True,True,True,
v0_B_base_openai_20260729T102246479705,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R04_read_url_routing,False,wrong_tool,,fetch,fetch,True,True,True,
v0_B_base_openai_20260729T102246479705,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R05_limit_arg,False,wrong_arg_value,,timeline,timeline,True,True,True,
v0_B_base_openai_20260729T102246479705,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R06_timeframe_arg,False,wrong_arg_value,,lookup,lookup,True,True,True,
v0_B_base_openai_20260729T102246479705,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R07_search_type_arg,False,wrong_arg_value,,social_search,social_search,True,True,True,
v0_B_base_openai_20260729T102246479705,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R08_out_of_scope,False,out_of_scope,unexpected_tool_call,no_tool,send,False,False,False,expected no tool call
v0_B_base_openai_20260729T102246479705,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R09_no_tool_capability,False,unnecessary_tool,,no_tool,,True,True,True,
v0_B_base_openai_20260729T102246479705,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R10_missing_handle,False,missing_info,missing_tool_call,clarify,timeline,False,False,False,missing tool call clarify; extra tool call timeline
v0_B_base_openai_20260729T102246479705,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R11_missing_url,False,missing_info,missing_tool_call,clarify,fetch,False,False,False,missing tool call clarify; extra tool call fetch
v0_B_base_openai_20260729T102246479705,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R12_confirm_before_send,False,wrong_boundary,missing_tool_call,clarify,send,False,False,False,missing tool call clarify; extra tool call send
v0_B_base_openai_20260729T102246479705,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R13_parallel_web_and_tweets,False,wrong_tool,wrong_arg_value,lookup|social_search,lookup|social_search,False,True,False,"query: expected 'AI', got 'AI news'; topic: expected 'news', got None"
v0_B_base_openai_20260729T102246479705,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R14_out_of_scope_coding,False,out_of_scope,unexpected_tool_call,no_tool,send,False,False,False,expected no tool call
v0_B_base_openai_20260729T102246479705,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,M01_clarify_then_fill,True,missing_info,,timeline,timeline,True,True,True,
v0_B_base_openai_20260729T102246479705,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,M02_carryover_timeframe,True,wrong_arg_value,,lookup,lookup,True,True,True,
v0_B_base_openai_20260729T102246479705,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,M03_correction_handle,True,wrong_arg_value,,timeline,timeline,True,True,True,
v0_B_base_openai_20260729T102246479705,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,M04_clarify_then_url,True,missing_info,,fetch,fetch,True,True,True,
v0_B_base_openai_20260729T102246479705,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,M05_correction_limit,True,wrong_arg_value,,timeline,timeline,True,True,True,
v0_B_base_openai_20260729T102246479705,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,M06_switch_tool,True,wrong_tool,,lookup,lookup,True,True,True,
v0_B_group_openai_20260729T110302534658,v0,v0+peb1c8179815b+t6cdb53d5d7b8,group,G01_url_with_topic_lure,False,wrong_tool,,fetch,fetch,True,True,True,
v0_B_group_openai_20260729T110302534658,v0,v0+peb1c8179815b+t6cdb53d5d7b8,group,G02_top_and_limit_together,False,wrong_arg_value,,social_search,social_search,True,True,True,
v0_B_group_openai_20260729T110302534658,v0,v0+peb1c8179815b+t6cdb53d5d7b8,group,G03_out_of_scope_translation,False,out_of_scope,unexpected_tool_call,no_tool,send,False,False,False,expected no tool call
v0_B_group_openai_20260729T110302534658,v0,v0+peb1c8179815b+t6cdb53d5d7b8,group,G04_confirm_before_send_text,False,wrong_boundary,missing_tool_call,clarify,send,False,False,False,missing tool call clarify; extra tool call send
v0_B_group_openai_20260729T110302534658,v0,v0+peb1c8179815b+t6cdb53d5d7b8,group,G05_missing_account_pronoun,False,missing_info,missing_tool_call,clarify,timeline,False,False,False,missing tool call clarify; extra tool call timeline
v0_B_group_openai_20260729T110302534658,v0,v0+peb1c8179815b+t6cdb53d5d7b8,group,G06_switch_account_to_topic,True,wrong_tool,,social_search,social_search,True,True,True,
v0_B_group_openai_20260729T110302534658,v0,v0+peb1c8179815b+t6cdb53d5d7b8,group,G07_widen_timeframe_after_correction,True,wrong_arg_value,wrong_arg_value,lookup,lookup,False,True,False,"query: expected 'AI', got 'tin tức AI'; topic: expected 'news', got None"
v0_B_group_openai_20260729T110302534658,v0,v0+peb1c8179815b+t6cdb53d5d7b8,group,G08_cancelled_before_acting,True,unnecessary_tool,,no_tool,,True,True,True,
v0_B_group_openai_20260729T110302534658,v0,v0+peb1c8179815b+t6cdb53d5d7b8,group,G09_missing_url_not_supplied_by_context,True,missing_info,missing_tool_call,clarify,send,False,False,False,missing tool call clarify; extra tool call send
v0_B_group_openai_20260729T110302534658,v0,v0+peb1c8179815b+t6cdb53d5d7b8,group,G10_send_after_explicit_confirm,True,wrong_boundary,,send,send,True,True,True,
v1_B_base_openai_20260729T111929884500,v1,v1+p24c5893dba66+t6cdb53d5d7b8,base,R01_user_tweets_routing,False,wrong_tool,,timeline,timeline,True,True,True,
v1_B_base_openai_20260729T111929884500,v1,v1+p24c5893dba66+t6cdb53d5d7b8,base,R02_search_tweets_routing,False,wrong_tool,,social_search,social_search,True,True,True,
v1_B_base_openai_20260729T111929884500,v1,v1+p24c5893dba66+t6cdb53d5d7b8,base,R03_web_news_routing,False,wrong_tool,,lookup,lookup,True,True,True,
v1_B_base_openai_20260729T111929884500,v1,v1+p24c5893dba66+t6cdb53d5d7b8,base,R04_read_url_routing,False,wrong_tool,,fetch,fetch,True,True,True,
v1_B_base_openai_20260729T111929884500,v1,v1+p24c5893dba66+t6cdb53d5d7b8,base,R05_limit_arg,False,wrong_arg_value,,timeline,timeline,True,True,True,
v1_B_base_openai_20260729T111929884500,v1,v1+p24c5893dba66+t6cdb53d5d7b8,base,R06_timeframe_arg,False,wrong_arg_value,,lookup,lookup,True,True,True,
v1_B_base_openai_20260729T111929884500,v1,v1+p24c5893dba66+t6cdb53d5d7b8,base,R07_search_type_arg,False,wrong_arg_value,,social_search,social_search,True,True,True,
v1_B_base_openai_20260729T111929884500,v1,v1+p24c5893dba66+t6cdb53d5d7b8,base,R08_out_of_scope,False,out_of_scope,,no_tool,,True,True,True,
v1_B_base_openai_20260729T111929884500,v1,v1+p24c5893dba66+t6cdb53d5d7b8,base,R09_no_tool_capability,False,unnecessary_tool,,no_tool,,True,True,True,
v1_B_base_openai_20260729T111929884500,v1,v1+p24c5893dba66+t6cdb53d5d7b8,base,R10_missing_handle,False,missing_info,,clarify,clarify,True,True,True,
v1_B_base_openai_20260729T111929884500,v1,v1+p24c5893dba66+t6cdb53d5d7b8,base,R11_missing_url,False,missing_info,wrong_arg_value,clarify,clarify,False,True,False,"response_type: expected 'text', got None"
v1_B_base_openai_20260729T111929884500,v1,v1+p24c5893dba66+t6cdb53d5d7b8,base,R12_confirm_before_send,False,wrong_boundary,,clarify,clarify,True,True,True,
v1_B_base_openai_20260729T111929884500,v1,v1+p24c5893dba66+t6cdb53d5d7b8,base,R13_parallel_web_and_tweets,False,wrong_tool,,lookup|social_search,lookup|social_search,True,True,True,
v1_B_base_openai_20260729T111929884500,v1,v1+p24c5893dba66+t6cdb53d5d7b8,base,R14_out_of_scope_coding,False,out_of_scope,,no_tool,,True,True,True,
v1_B_base_openai_20260729T111929884500,v1,v1+p24c5893dba66+t6cdb53d5d7b8,base,M01_clarify_then_fill,True,missing_info,,timeline,timeline,True,True,True,
v1_B_base_openai_20260729T111929884500,v1,v1+p24c5893dba66+t6cdb53d5d7b8,base,M02_carryover_timeframe,True,wrong_arg_value,,lookup,lookup,True,True,True,
v1_B_base_openai_20260729T111929884500,v1,v1+p24c5893dba66+t6cdb53d5d7b8,base,M03_correction_handle,True,wrong_arg_value,,timeline,timeline,True,True,True,
v1_B_base_openai_20260729T111929884500,v1,v1+p24c5893dba66+t6cdb53d5d7b8,base,M04_clarify_then_url,True,missing_info,,fetch,fetch,True,True,True,
v1_B_base_openai_20260729T111929884500,v1,v1+p24c5893dba66+t6cdb53d5d7b8,base,M05_correction_limit,True,wrong_arg_value,,timeline,timeline,True,True,True,
v1_B_base_openai_20260729T111929884500,v1,v1+p24c5893dba66+t6cdb53d5d7b8,base,M06_switch_tool,True,wrong_tool,,lookup,lookup,True,True,True,
v2_B_base_openai_20260729T112005998084,v2,v2+p24c5893dba66+t6fffa9ec6f83,base,R01_user_tweets_routing,False,wrong_tool,,timeline,timeline,True,True,True,
v2_B_base_openai_20260729T112005998084,v2,v2+p24c5893dba66+t6fffa9ec6f83,base,R02_search_tweets_routing,False,wrong_tool,,social_search,social_search,True,True,True,
v2_B_base_openai_20260729T112005998084,v2,v2+p24c5893dba66+t6fffa9ec6f83,base,R03_web_news_routing,False,wrong_tool,,lookup,lookup,True,True,True,
v2_B_base_openai_20260729T112005998084,v2,v2+p24c5893dba66+t6fffa9ec6f83,base,R04_read_url_routing,False,wrong_tool,,fetch,fetch,True,True,True,
v2_B_base_openai_20260729T112005998084,v2,v2+p24c5893dba66+t6fffa9ec6f83,base,R05_limit_arg,False,wrong_arg_value,,timeline,timeline,True,True,True,
v2_B_base_openai_20260729T112005998084,v2,v2+p24c5893dba66+t6fffa9ec6f83,base,R06_timeframe_arg,False,wrong_arg_value,,lookup,lookup,True,True,True,
v2_B_base_openai_20260729T112005998084,v2,v2+p24c5893dba66+t6fffa9ec6f83,base,R07_search_type_arg,False,wrong_arg_value,,social_search,social_search,True,True,True,
v2_B_base_openai_20260729T112005998084,v2,v2+p24c5893dba66+t6fffa9ec6f83,base,R08_out_of_scope,False,out_of_scope,,no_tool,,True,True,True,
v2_B_base_openai_20260729T112005998084,v2,v2+p24c5893dba66+t6fffa9ec6f83,base,R09_no_tool_capability,False,unnecessary_tool,,no_tool,,True,True,True,
v2_B_base_openai_20260729T112005998084,v2,v2+p24c5893dba66+t6fffa9ec6f83,base,R10_missing_handle,False,missing_info,,clarify,clarify,True,True,True,
v2_B_base_openai_20260729T112005998084,v2,v2+p24c5893dba66+t6fffa9ec6f83,base,R11_missing_url,False,missing_info,,clarify,clarify,True,True,True,
v2_B_base_openai_20260729T112005998084,v2,v2+p24c5893dba66+t6fffa9ec6f83,base,R12_confirm_before_send,False,wrong_boundary,,clarify,clarify,True,True,True,
v2_B_base_openai_20260729T112005998084,v2,v2+p24c5893dba66+t6fffa9ec6f83,base,R13_parallel_web_and_tweets,False,wrong_tool,,lookup|social_search,lookup|social_search,True,True,True,
v2_B_base_openai_20260729T112005998084,v2,v2+p24c5893dba66+t6fffa9ec6f83,base,R14_out_of_scope_coding,False,out_of_scope,,no_tool,,True,True,True,
v2_B_base_openai_20260729T112005998084,v2,v2+p24c5893dba66+t6fffa9ec6f83,base,M01_clarify_then_fill,True,missing_info,,timeline,timeline,True,True,True,
v2_B_base_openai_20260729T112005998084,v2,v2+p24c5893dba66+t6fffa9ec6f83,base,M02_carryover_timeframe,True,wrong_arg_value,,lookup,lookup,True,True,True,
v2_B_base_openai_20260729T112005998084,v2,v2+p24c5893dba66+t6fffa9ec6f83,base,M03_correction_handle,True,wrong_arg_value,,timeline,timeline,True,True,True,
v2_B_base_openai_20260729T112005998084,v2,v2+p24c5893dba66+t6fffa9ec6f83,base,M04_clarify_then_url,True,missing_info,,fetch,fetch,True,True,True,
v2_B_base_openai_20260729T112005998084,v2,v2+p24c5893dba66+t6fffa9ec6f83,base,M05_correction_limit,True,wrong_arg_value,,timeline,timeline,True,True,True,
v2_B_base_openai_20260729T112005998084,v2,v2+p24c5893dba66+t6fffa9ec6f83,base,M06_switch_tool,True,wrong_tool,,lookup,lookup,True,True,True,
v2_B_base_openai_20260729T113204314573,v2,v2+p24c5893dba66+t6fffa9ec6f83,base,R01_user_tweets_routing,False,wrong_tool,,timeline,timeline,True,True,True,
v2_B_base_openai_20260729T113204314573,v2,v2+p24c5893dba66+t6fffa9ec6f83,base,R02_search_tweets_routing,False,wrong_tool,,social_search,social_search,True,True,True,
v2_B_base_openai_20260729T113204314573,v2,v2+p24c5893dba66+t6fffa9ec6f83,base,R03_web_news_routing,False,wrong_tool,,lookup,lookup,True,True,True,
v2_B_base_openai_20260729T113204314573,v2,v2+p24c5893dba66+t6fffa9ec6f83,base,R04_read_url_routing,False,wrong_tool,,fetch,fetch,True,True,True,
v2_B_base_openai_20260729T113204314573,v2,v2+p24c5893dba66+t6fffa9ec6f83,base,R05_limit_arg,False,wrong_arg_value,,timeline,timeline,True,True,True,
v2_B_base_openai_20260729T113204314573,v2,v2+p24c5893dba66+t6fffa9ec6f83,base,R06_timeframe_arg,False,wrong_arg_value,,lookup,lookup,True,True,True,
v2_B_base_openai_20260729T113204314573,v2,v2+p24c5893dba66+t6fffa9ec6f83,base,R07_search_type_arg,False,wrong_arg_value,,social_search,social_search,True,True,True,
v2_B_base_openai_20260729T113204314573,v2,v2+p24c5893dba66+t6fffa9ec6f83,base,R08_out_of_scope,False,out_of_scope,,no_tool,,True,True,True,
v2_B_base_openai_20260729T113204314573,v2,v2+p24c5893dba66+t6fffa9ec6f83,base,R09_no_tool_capability,False,unnecessary_tool,,no_tool,,True,True,True,
v2_B_base_openai_20260729T113204314573,v2,v2+p24c5893dba66+t6fffa9ec6f83,base,R10_missing_handle,False,missing_info,,clarify,clarify,True,True,True,
v2_B_base_openai_20260729T113204314573,v2,v2+p24c5893dba66+t6fffa9ec6f83,base,R11_missing_url,False,missing_info,,clarify,clarify,True,True,True,
v2_B_base_openai_20260729T113204314573,v2,v2+p24c5893dba66+t6fffa9ec6f83,base,R12_confirm_before_send,False,wrong_boundary,,clarify,clarify,True,True,True,
v2_B_base_openai_20260729T113204314573,v2,v2+p24c5893dba66+t6fffa9ec6f83,base,R13_parallel_web_and_tweets,False,wrong_tool,,lookup|social_search,lookup|social_search,True,True,True,
v2_B_base_openai_20260729T113204314573,v2,v2+p24c5893dba66+t6fffa9ec6f83,base,R14_out_of_scope_coding,False,out_of_scope,,no_tool,,True,True,True,
v2_B_base_openai_20260729T113204314573,v2,v2+p24c5893dba66+t6fffa9ec6f83,base,M01_clarify_then_fill,True,missing_info,,timeline,timeline,True,True,True,
v2_B_base_openai_20260729T113204314573,v2,v2+p24c5893dba66+t6fffa9ec6f83,base,M02_carryover_timeframe,True,wrong_arg_value,,lookup,lookup,True,True,True,
v2_B_base_openai_20260729T113204314573,v2,v2+p24c5893dba66+t6fffa9ec6f83,base,M03_correction_handle,True,wrong_arg_value,,timeline,timeline,True,True,True,
v2_B_base_openai_20260729T113204314573,v2,v2+p24c5893dba66+t6fffa9ec6f83,base,M04_clarify_then_url,True,missing_info,,fetch,fetch,True,True,True,
v2_B_base_openai_20260729T113204314573,v2,v2+p24c5893dba66+t6fffa9ec6f83,base,M05_correction_limit,True,wrong_arg_value,,timeline,timeline,True,True,True,
v2_B_base_openai_20260729T113204314573,v2,v2+p24c5893dba66+t6fffa9ec6f83,base,M06_switch_tool,True,wrong_tool,,lookup,lookup,True,True,True,
v2_B_group_openai_20260729T113225368545,v2,v2+p24c5893dba66+t6fffa9ec6f83,group,G01_url_with_topic_lure,False,wrong_tool,,fetch,fetch,True,True,True,
v2_B_group_openai_20260729T113225368545,v2,v2+p24c5893dba66+t6fffa9ec6f83,group,G02_top_and_limit_together,False,wrong_arg_value,,social_search,social_search,True,True,True,
v2_B_group_openai_20260729T113225368545,v2,v2+p24c5893dba66+t6fffa9ec6f83,group,G03_out_of_scope_translation,False,out_of_scope,,no_tool,,True,True,True,
